"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000020702",0.174172185318645,-0.76962808908936,3.06709406595583,-0.250930709179118,0.801867681335263,0.876098704580508
"ENSMUSG00000020723",3.95147833666257e-05,-1.28437469997752,3.06913879378388,-0.418480487939758,0.675595849628591,0.876098704580508
"ENSMUSG00000020872",0.30881025281684,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000020890",0.30881025281684,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000020907",0.274642048583684,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000021086",0.30881025281684,-2.25679853636401,3.05984996089455,-0.737552025493509,0.460786717503522,0.876098704580508
"ENSMUSG00000021194",3.46638786210158,0.694657016794833,1.61481423925528,0.430177663726321,0.66706640870093,0.876098704580508
"ENSMUSG00000021216",0.30881025281684,-2.25679853636401,3.05984996089455,-0.737552025493509,0.460786717503522,0.876098704580508
"ENSMUSG00000021337",0.000434662617032883,-1.2764637322467,3.06913865632041,-0.415902921042041,0.677481041964446,0.876098704580508
"ENSMUSG00000021342",0.0774098601416201,-1.67784611285302,3.06756075417554,-0.546964264870432,0.584403283013636,0.876098704580508
"ENSMUSG00000021506",0.187506488631237,-1.267540796417,3.06558675825418,-0.413474123022,0.679259277591022,0.876098704580508
"ENSMUSG00000021541",0.000237088700199754,-1.28040839102891,3.06913872476985,-0.417188177482894,0.676540771995111,0.876098704580508
"ENSMUSG00000021587",1.43657767407692,-3.18918692079912,2.73014694266941,-1.16813746211069,0.242751321378489,0.876098704580508
"ENSMUSG00000021612",0.30881025281684,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000021647",0.310944051118638,-1.6832518584812,3.06715371507484,-0.54879931521141,0.583143180300327,0.876098704580508
"ENSMUSG00000021718",0.15440512640842,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000021721",0.0761331331124777,-0.76962811585027,3.06709406617265,-0.250930717886546,0.801867674603062,0.876098704580508
"ENSMUSG00000021933",0.000118544350099877,-1.28278556126495,3.06913876610999,-0.417962711699356,0.675974380323377,0.876098704580508
"ENSMUSG00000021953",0.30881025281684,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000021961",0.274642048583684,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000022061",0.000118544350099877,-1.28278556126495,3.06913876610999,-0.417962711699356,0.675974380323377,0.876098704580508
"ENSMUSG00000022144",7.90295667332514e-05,-1.28357969332704,3.06913877993551,-0.418221457341208,0.675785208891514,0.876098704580508
"ENSMUSG00000022187",0.228399399337433,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000022212",0.30881025281684,-2.25679853636401,3.05984996089455,-0.737552025493509,0.460786717503522,0.876098704580508
"ENSMUSG00000022229",0.30881025281684,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000022245",0.30881025281684,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000022366",0.15440512640842,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000022367",2.77929227535156,-4.83690734328542,2.99640625413319,-1.61423616594495,0.106476210144033,0.876098704580508
